"partner_id","amount","year","month","distributor_id","cause_id"
12,8000.00,2015,8,16,"699052"
12,25.00,2015,8,20,"72"
12,200.00,2015,8,20,"928616"
12,75.00,2015,8,20,"928617"
12,25.00,2015,8,20,"928618"
12,100.00,2015,8,20,"928620"
12,25.00,2015,8,20,"928621"
12,25.00,2015,8,20,"928622"
12,25.00,2015,8,16,"928623"
12,25.00,2015,8,16,"928629"
12,200.00,2015,8,16,"928636"
12,25.00,2015,8,16,"928639"
12,25.00,2015,9,16,"143"
12,25.00,2015,9,20,"171"
12,50.00,2015,9,16,"238"
12,200.00,2015,9,20,"439189"
12,25.00,2015,9,20,"439352"
12,50.00,2015,9,20,"535089"
12,10.00,2015,9,20,"55"
12,25.00,2015,9,20,"568918"
12,25.00,2015,9,20,"698436"
12,25.00,2015,9,20,"698775"
12,50.00,2015,9,16,"698913"
12,50.00,2015,9,20,"699051"
12,9300.00,2015,9,16,"699102"
12,25.00,2015,9,20,"927963"
12,25.00,2015,9,16,"928640"
12,25.00,2015,9,20,"928642"
12,50.00,2015,9,20,"928658"
12,50.00,2015,9,20,"928660"
12,100.00,2015,9,20,"928662"
12,200.00,2015,9,16,"928665"
12,25.00,2015,9,20,"928666"
12,1400.00,2015,9,16,"928716"
12,25.00,2015,9,16,"928730"
12,25.00,2015,9,16,"928731"
12,25.00,2015,9,20,"928745"
12,100.00,2015,9,20,"928746"
12,400.00,2015,10,16,"172"
12,150.00,2015,10,20,"439442"
12,50.00,2015,10,16,"568923"
12,50.00,2015,10,20,"698618"
12,25.00,2015,10,16,"698836"
12,100.00,2015,10,20,"699117"
12,25.00,2015,10,16,"928639"
12,100.00,2015,10,16,"928758"
12,125.00,2015,10,16,"928764"
12,125.00,2015,10,20,"928766"
12,25.00,2015,10,16,"928768"
12,50.00,2015,10,16,"928769"
12,25.00,2015,10,20,"928772"
12,500.00,2015,10,16,"928780"
12,100.00,2015,10,16,"928787"
12,10.00,2015,11,16,"562465"
12,50.00,2015,11,16,"698629"
12,25.00,2015,11,16,"698775"
12,25.00,2015,11,20,"928052"
12,100.00,2015,11,20,"928808"
12,250.00,2015,11,20,"928818"
12,25.00,2015,11,16,"928823"
12,25.00,2015,11,20,"928841"
12,50.00,2015,12,16,"116"
12,50.00,2015,12,16,"171"
12,10.00,2015,12,20,"181711"
12,10.00,2015,12,20,"182067"
12,25.00,2015,12,16,"234"
12,100.00,2015,12,16,"257"
12,25.00,2015,12,20,"257"
12,100.00,2015,12,16,"438856"
12,50.00,2015,12,16,"438873"
12,25.00,2015,12,16,"439201"
12,50.00,2015,12,16,"439461"
12,75.00,2015,12,16,"439462"
12,25.00,2015,12,20,"439463"
12,25.00,2015,12,16,"454767"
12,100.00,2015,12,16,"698436"
12,25.00,2015,12,16,"698913"
12,50.00,2015,12,16,"699055"
12,100.00,2015,12,16,"699145"
12,100.00,2015,12,16,"699146"
12,250.00,2015,12,20,"927784"
12,50.00,2015,12,20,"928063"
12,25.00,2015,12,16,"928769"
12,50.00,2015,12,20,"928845"
12,25.00,2015,12,20,"928849"
12,100.00,2015,12,20,"928850"
12,25.00,2015,12,16,"928851"
12,200.00,2015,12,16,"928853"
12,75.00,2015,12,20,"928858"
12,25.00,2015,12,20,"928883"
12,100.00,2015,12,16,"928885"
12,25.00,2015,12,20,"928886"
12,25.00,2015,12,20,"928887"
12,100.00,2015,12,20,"928888"
12,75.00,2015,12,16,"928889"
12,700.00,2015,12,16,"928890"
